date,home,score,away,location
19 August 2012,Barcelona,5–1,Real Sociedad,Barcelona
26 August 2012,Osasuna,1–2,Barcelona,Pamplona
2 September 2012,Barcelona,1–0,Valencia,Barcelona
15 September 2012,Getafe,1–4,Barcelona,Getafe
22 September 2012,Barcelona,2–0,Granada,Barcelona
29 September 2012,Sevilla,2–3,Barcelona,Seville
7 October 2012,Barcelona,2–2,Real Madrid,Barcelona
20 October 2012,Deportivo La Coruña,4–5,Barcelona,A Coruña
27 October 2012,Rayo Vallecano,0–5,Barcelona,Madrid
3 November 2012,Barcelona,3–1,Celta Vigo,Barcelona
11 November 2012,Mallorca,2–4,Barcelona,Palma
17 November 2012,Barcelona,3–1,Zaragoza,Barcelona
25 November 2012,Levante,0–4,Barcelona,Valencia
1 December 2012,Barcelona,5–1,Athletic Bilbao,Barcelona
9 December 2012,Real Betis,1–2,Barcelona,Seville
16 December 2012,Barcelona,4–1,Atlético Madrid,Barcelona
22 December 2012,Real Valladolid,1–3,Barcelona,Valladolid
6 January 2013,Barcelona,4–0,Espanyol,Barcelona
13 January 2013,Málaga,1–3,Barcelona,Málaga
19 January 2013,Real Sociedad,3–2,Barcelona,San Sebastián
27 January 2013,Barcelona,5–1,Osasuna,Barcelona
3 February 2013,Valencia,1–1,Barcelona,Valencia
10 February 2013,Barcelona,6–1,Getafe,Barcelona
16 February 2013,Granada,1–2,Barcelona,Granada
23 February 2013,Barcelona,2–1,Sevilla,Barcelona
2 March 2013,Real Madrid,2–1,Barcelona,Madrid
9 March 2013,Barcelona,2–0,Deportivo La Coruña,Barcelona
17 March 2013,Barcelona,3–1,Rayo Vallecano,Barcelona
30 March 2013,Celta Vigo,2–2,Barcelona,Vigo
6 April 2013,Barcelona,5–0,Mallorca,Barcelona
14 April 2013,Zaragoza,0–3,Barcelona,Zaragoza
20 April 2013,Barcelona,1–0,Levante,Barcelona
27 April 2013,Athletic Bilbao,2–2,Barcelona,Bilbao
5 May 2013,Barcelona,4–2,Real Betis,Barcelona
12 May 2013,Atlético Madrid,1–2,Barcelona,Madrid
19 May 2013,Barcelona,2–1,Real Valladolid,Barcelona
26 May 2013,Espanyol,0–2,Barcelona,Cornellà de Llobregat
1 June 2013,Barcelona,4–1,Málaga,Barcelona
30 October 2012,Alaves,0-3,Barcelona,Vitoria-Gasteiz
28 November 2012,Barcelona,3-1,Alavez,Barcelona
12 December 2012,Cordoba,0-2,Barcelona,Cordoba
10 January 2013,Barcelona,5-0,Cordoba,Barcelona
16 January 2013,Barcelona,2-2,Malaga,Barcelona
24 January 2013,Malaga,2-4,Barcelona,Malaga
30 January 2013,Real Madrid,1-1,Barcelona,Madrid
26 February 2013,Barcelona,1-3,Real Madrid,Barcelona
19 September 2012,Barcelona,3-2,Spartak Moscow,Barcelona
2 October 2012,Benefica,0-2,Barcelona,Lisbon
23 October 2012,Barcelona,2-1,Celtic,Barcelona
7 November 2012,Celtic,2-1,Barcelona,Glasgow
20 November 2012,Spartak Moscow,0-3,Barcelona,Moscow
5 December 2012,Barcelona,0-0,Benfica,Barcelona
20 February 2013,Milan,2-0,Barcelona,Milan
12 March 2013,Barcelona,4-0,Milan,Barcelona
2 April 2013,Paris Saint-Germain,2-2,Barcelona,Paris
10 April 2013,Barcelona,1-1,Paris Saint-Germain,Barcelona
23 April 2013,Bayern Munich,4-0,Barcelona,Munich
1 May 2013,Barcelona,0-3,Baryern Munich,Barcelona
29 May 2013,Espanyol,1-1,Barcelona,Lleida
