date,home,score,away,location
2012-08-19,Barcelona,5–1,Real Sociedad,Barcelona
2012-08-26,Osasuna,1–2,Barcelona,Pamplona
2012-09-02,Barcelona,1–0,Valencia,Barcelona
2012-09-15,Getafe,1–4,Barcelona,Getafe
2012-09-22,Barcelona,2–0,Granada,Barcelona
2012-09-29,Sevilla,2–3,Barcelona,Seville
2012-10-07,Barcelona,2–2,Real Madrid,Barcelona
2012-10-20,Deportivo La Coruña,4–5,Barcelona,A Coruña
2012-10-27,Rayo Vallecano,0–5,Barcelona,Madrid
2012-11-03,Barcelona,3–1,Celta Vigo,Barcelona
2012-11-11,Mallorca,2–4,Barcelona,Palma
2012-11-17,Barcelona,3–1,Zaragoza,Barcelona
2012-11-25,Levante,0–4,Barcelona,Valencia
2012-12-01,Barcelona,5–1,Athletic Bilbao,Barcelona
2012-12-09,Real Betis,1–2,Barcelona,Seville
2012-12-16,Barcelona,4–1,Atlético Madrid,Barcelona
2012-12-22,Real Valladolid,1–3,Barcelona,Valladolid
2013-01-06,Barcelona,4–0,Espanyol,Barcelona
2013-01-13,Málaga,1–3,Barcelona,Málaga
2013-01-19,Real Sociedad,3–2,Barcelona,San Sebastián
2013-01-27,Barcelona,5–1,Osasuna,Barcelona
2013-02-03,Valencia,1–1,Barcelona,Valencia
2013-02-10,Barcelona,6–1,Getafe,Barcelona
2013-02-16,Granada,1–2,Barcelona,Granada
2013-02-23,Barcelona,2–1,Sevilla,Barcelona
2013-03-02,Real Madrid,2–1,Barcelona,Madrid
2013-03-09,Barcelona,2–0,Deportivo La Coruña,Barcelona
2013-03-17,Barcelona,3–1,Rayo Vallecano,Barcelona
2013-03-30,Celta Vigo,2–2,Barcelona,Vigo
2013-04-06,Barcelona,5–0,Mallorca,Barcelona
2013-04-14,Zaragoza,0–3,Barcelona,Zaragoza
2013-04-20,Barcelona,1–0,Levante,Barcelona
2013-04-27,Athletic Bilbao,2–2,Barcelona,Bilbao
2013-05-05,Barcelona,4–2,Real Betis,Barcelona
2013-05-12,Atlético Madrid,1–2,Barcelona,Madrid
2013-05-19,Barcelona,2–1,Real Valladolid,Barcelona
2013-05-26,Espanyol,0–2,Barcelona,Cornellà de Llobregat
2013-06-01,Barcelona,4–1,Málaga,Barcelona
2012-10-30,Alaves,0-3,Barcelona,Vitoria-Gasteiz
2012-11-28,Barcelona,3-1,Alavez,Barcelona
2012-12-12,Cordoba,0-2,Barcelona,Cordoba
2013-01-10,Barcelona,5-0,Cordoba,Barcelona
2013-01-16,Barcelona,2-2,Malaga,Barcelona
2013-01-24,Malaga,2-4,Barcelona,Malaga
2013-01-30,Real Madrid,1-1,Barcelona,Madrid
2013-02-26,Barcelona,1-3,Real Madrid,Barcelona
2012-09-19,Barcelona,3-2,Spartak Moscow,Barcelona
2012-10-02,Benefica,0-2,Barcelona,Lisbon
2012-10-23,Barcelona,2-1,Celtic,Barcelona
2012-11-07,Celtic,2-1,Barcelona,Glasgow
2012-11-20,Spartak Moscow,0-3,Barcelona,Moscow
2012-12-05,Barcelona,0-0,Benfica,Barcelona
2013-02-20,Milan,2-0,Barcelona,Milan
2013-03-12,Barcelona,4-0,Milan,Barcelona
2013-04-02,Paris Saint-Germain,2-2,Barcelona,Paris
2013-04-10,Barcelona,1-1,Paris Saint-Germain,Barcelona
2013-04-23,Bayern Munich,4-0,Barcelona,Munich
2013-05-01,Barcelona,0-3,Baryern Munich,Barcelona
2013-05-29,Espanyol,1-1,Barcelona,Lleida
2013-08-18,Barcelona,7–0,Levante,Barcelona
2013-08-25,Málaga,0–1,Barcelona,Málaga
2013-09-01,Valencia,2–3,Barcelona,Valencia
2013-09-14,Barcelona,3–2,Sevilla,Barcelona
2013-09-21,Rayo Vallecano,0–4,Barcelona,Madrid
2013-09-24,Barcelona,4–1,Real Sociedad,Barcelona
2013-09-28,Almería,0–2,Barcelona,Almería
2013-10-05,Barcelona,4–1,Real Valladolid,Barcelona
2013-10-19,Osasuna,0–0,Barcelona,Pamplona
2013-10-26,Barcelona,2–1,Real Madrid,Barcelona
2013-10-29,Celta Vigo,0–3,Barcelona,Vigo
2013-11-01,Barcelona,1–0,Espanyol,Barcelona
2013-11-10,Real Betis,1–4,Barcelona,Sevilla
2013-11-23,Barcelona,4–0,Granada,Barcelona
