date,home,score,away,location
18 August 20131,Barcelona,7–0,Levante,[show]Barcelona
25 August 20132,Málaga,0–1,Barcelona,[show]Málaga
1 September 20133,Valencia,2–3,Barcelona,[show]Valencia
14 September 20134,Barcelona,3–2,Sevilla,[show]Barcelona
21 September 20135,Rayo Vallecano,0–4,Barcelona,[show]Madrid
24 September 20136,Barcelona,4–1,Real Sociedad,[show]Barcelona
28 September 20137,Almería,0–2,Barcelona,[show]Almería
5 October 20138,Barcelona,4–1,Real Valladolid,[show]Barcelona
19 October 20139,Osasuna,0–0,Barcelona,[show]Pamplona
26 October 201310,Barcelona,2–1,Real Madrid,[show]Barcelona
29 October 201311,Celta Vigo,0–3,Barcelona,[show]Vigo
1 November 201312,Barcelona,1–0,Espanyol,[show]Barcelona
10 November 201313,Real Betis,1–4,Barcelona,[show]Sevilla
23 November 201314,Barcelona,4–0,Granada,[show]Barcelona
1 December 201315,Athletic Bilbao,1–0,Barcelona,[show]Bilbao
14 December 201316,Barcelona,2–1,Villarreal,[show]Barcelona
22 December 201317,Getafe,2–5,Barcelona,[show]Getafe
5 January 201418,Barcelona,4–0,Elche,[show]Barcelona
11 January 201419,Atlético Madrid,0–0,Barcelona,[show]Madrid
19 January 201420,Levante,1–1,Barcelona,[show]Valencia
26 January 201421,Barcelona,3–0,Málaga,[show]Barcelona
1 February 201422,Barcelona,2–3,Valencia,[show]Barcelona
9 February 201423,Sevilla,1–4,Barcelona,[show]Sevilla
15 February 201424,Barcelona,6–0,Rayo Vallecano,[show]Barcelona
22 February 201425,Real Sociedad,3–1,Barcelona,[show]San Sebastián
2 March 201426,Barcelona,4–1,Almería,[show]Barcelona
8 March 201427,Real Valladolid,1–0,Barcelona,[show]Valladolid
16 March 201428,Barcelona,7–0,Osasuna,[show]Barcelona
23 March 201429,Real Madrid,3–4,Barcelona,[show]Madrid
26 March 201430,Barcelona,3–0,Celta Vigo,[show]Barcelona
29 March 201431,Espanyol,0–1,Barcelona,[show]Cornellà de Llobregat
5 April 201432,Barcelona,3–1,Real Betis,[show]Barcelona
12 April 201433,Granada,1–0,Barcelona,[show]Granada
20 April 201434,Barcelona,2–1,Athletic Bilbao,[show]Barcelona
27 April 201435,Villarreal,2–3,Barcelona,[show]Villarreal
3 May 201436,Barcelona,2–2,Getafe,[show]Barcelona
11 May 201437,Elche,0–0,Barcelona,[show]Elche
17 May 201438,Barcelona,1–1,Atlético Madrid,[show]Barcelona
6 December 2013,Cartagena,1–4,Barcelona,[show]Cartagena
17 December 2013,Barcelona,3–0,Cartagena,[show]Barcelona
8 January 2014,Barcelona,4–0,Getafe,[show]Barcelona
16 January 2014,Getafe,0–2,Barcelona,[show]Getafe
22 January 2014,Levante,1–4,Barcelona,[show]Valencia
29 January 2014,Barcelona,5–1,Levante,[show]Barcelona
5 February 2014,Barcelona,2–0,Real Sociedad,[show]Barcelona
12 February 2014,Real Sociedad,1–1,Barcelona,[show]San Sebastián
16 April 2014,Barcelona,1-2,Real Madrid,Valencia
18 September 2013,Barcelona,4-0,Ajax,Barcelona
1 October 2013,Celtic,0-1,Barcelona,Glasgow
22 October 2013,Milan,1-1,Barcelona,Milan
6 November 2013,Barcelona,3-1,Milan,Barcelona
26 November 2013,Ajax,2-1,Barcelona,Amsterdam
11 December 2013,Barcelona,6-1,Celtic,Barcelona
18 February 2014,Manchester City,0-2,Barcelona,Manchester
12 March 2014,Barcelona,2-1,Manchester City,Barcelona
1 April 2014,Barcelona,1-1,Atlético Madrid,Barcelona
9 April 2014,Atlético Madrid,1-0,Barcelona,Madrid
13 May 2014,Girona,2-3,Barcelona,Girona
21 May 2014,Barcelona,0-0,Espanyol,Girona
24 August 2014,Barcelona,3–0,Elche,[show]Barcelona
31 August 20142,Villarreal,0–1,Barcelona,[show]Villarreal
13 September 20143,Barcelona,2–0,Athletic Bilbao,[show]Barcelona
21 September 20144,Levante,0–5,Barcelona,[show]Valencia
24 September 20145,Málaga,0–0,Barcelona,[show]Málaga
27 September 20146,Barcelona,6–0,Granada,[show]Barcelona
4 October 20147,Rayo Vallecano,0–2,Barcelona,[show]Madrid
18 October 20148,Barcelona,3–0,Eibar,[show]Barcelona
25 October 20149,Real Madrid,3–1,Barcelona,[show]Madrid
1 November 201410,Barcelona,0–1,Celta Vigo,[show]Barcelona
8 November 201411,Almería,1–2,Barcelona,[show]Almería
22 November 201412,Barcelona,5–1,Sevilla,[show]Barcelona
30 November 201413,Valencia,0–1,Barcelona,[show]Valencia
7 December 201414,Barcelona,5–1,Espanyol,[show]Barcelona
13 December 201415,Getafe,0–0,Barcelona,[show]Getafe
20 December 201416,Barcelona,5–0,Córdoba,[show]Barcelona
3 December 2014,Huesca,0-4,Barcelona,Huesca
16 December 2014,Barcelona,8-1,Huesca,Barcelona
29 August 2011,Barcelona,5–0,Villarreal,[show]Barcelona
10 September 20113,Real Sociedad,2–2,Barcelona,[show]San Sebastián
17 September 20114,Barcelona,8–0,Osasuna,[show]Barcelona
21 September 20115,Valencia,2–2,Barcelona,[show]Valencia
24 September 20116,Barcelona,5–0,Atlético Madrid,[show]Barcelona
2 October 20117,Sporting Gijón,0–1,Barcelona,[show]Gijón
15 October 20118,Barcelona,3–0,Racing Santander,[show]Barcelona
22 October 20119,Barcelona,0–0,Sevilla,[show]Barcelona
25 October 201110,Granada,0–1,Barcelona,[show]Granada
29 October 201111,Barcelona,5–0,Mallorca,[show]Barcelona
6 November 201112,Athletic Bilbao,2–2,Barcelona,[show]Bilbao
19 November 201113,Barcelona,4–0,Zaragoza,[show]Barcelona
26 November 201114,Getafe,1–0,Barcelona,[show]Getafe
29 November 201117,Barcelona,4–0,Rayo Vallecano,[show]Barcelona
3 December 201115,Barcelona,5–0,Levante,[show]Barcelona
10 December 201116,Real Madrid,1–3,Barcelona,[show]Madrid
8 January 201218,Espanyol,1–1,Barcelona,[show]Cornellà de Llobregat
15 January 201219,Barcelona,4–2,Real Betis,[show]Barcelona
22 January 20121,Málaga,1–4,Barcelona,[show]Málaga
28 January 201221,Villarreal,0–0,Barcelona,[show]Villarreal
4 February 201222,Barcelona,2–1,Real Sociedad,[show]Barcelona
11 February 201223,Osasuna,3–2,Barcelona,[show]Pamplona
19 February 201224,Barcelona,5–1,Valencia,[show]Barcelona
16 May 201525,Atlético Madrid,1–2,Barcelona,[show]Madrid
3 March 201226,Barcelona,3–1,Sporting Gijón,[show]Barcelona
11 March 201227,Racing Santander,0–2,Barcelona,[show]Santander
17 March 201228,Sevilla,0–2,Barcelona,[show]Seville
20 March 201229,Barcelona,5–3,Granada,[show]Barcelona
24 March 201230,Mallorca,0–2,Barcelona,[show]Palma
31 March 201231,Barcelona,2–0,Athletic Bilbao,[show]Barcelona
7 April 201232,Zaragoza,1–4,Barcelona,[show]Zaragoza
10 April 201233,Barcelona,4–0,Getafe,[show]Barcelona
14 April 201234,Levante,1–2,Barcelona,[show]Valencia
21 April 201235,Barcelona,1–2,Real Madrid,[show]Barcelona
29 April 201236,Rayo Vallecano,0–7,Barcelona,[show]Vallecas
2 May 201220,Barcelona,4–1,Málaga,[show]Barcelona
5 May 201237,Barcelona,4–0,Espanyol,[show]Barcelona
12 May 201238,Real Betis,2–2,Barcelona,[show]Seville
9 November 2011,L'hospitalet,0-1,Barcelona,L'hospitalet de Llobregat
22 December 2011,Barcelona,9-0,L'hospitalet,Barcelona
4 January 2012,Barcelona,4-0,Osasuna,Barcelona
12 January 2012,Osasuna,1-2,Barcelona,Pamplona
18 January 2012,Real Madrid,1-2,Barcelona,Madrid
25 January 2012,Barcelona,2-2,Real Madrid,Barcelona
1 February 2012,Valencia,1-1,Barcelona,Valencia
8 February 2012,Barcelona,2-0,Valencia,Barcelona
25 May 2012,Athletic Bilbao,0-3,Barcelona,Madrid
13 September 2011,Barcelona,2-2,Milan,Barcelona
28 September 2011,BATE Borisov,0-5,Barcelona,Minsk
19 October 2011,Barcelona,2-0,Viktoria Plzen,Barcelona
1 November 2011,Viktoria Plzen,0-4,Barcelona,Prague
23 November 2011,Milan,2-3,Barcelona,Milan
6 December 2011,Barcelona,4-0,BATE Borisov,Barcelona
14 February 2012,Bayer Leverkusen,1-3,Barcelona,Leverkusen
7 March 2012,Barcelona,7-1,Bayer Leverkusen,Barcelona
28 March 2012,Milan,0-0,Barcelona,Milan
3 April 2012,Barcelona,3-1,Milan,Barcelona
18 April 2012,Chelsea,1-0,Barcelona,London
24 April 2012,Barcelona,2-2,Chelsea,Barcelona
29 August 2010,Racing Santander,0–3,Barcelona,[show]Santander
11 September 20102,Barcelona,0–2,Hércules,[show]Barcelona
19 September 20103,Atlético Madrid,1–2,Barcelona,[show]Madrid
22 September 20104,Barcelona,1–0,Sporting Gijón,[show]Barcelona
25 September 20105,Athletic Bilbao,1–3,Barcelona,[show]Bilbao
3 October 20106,Barcelona,1–1,Mallorca,[show]Barcelona
16 October 20107,Barcelona,2–1,Valencia,[show]Barcelona
23 October 20108,Zaragoza,0–2,Barcelona,[show]Zaragoza
30 October 20109,Barcelona,5–0,Sevilla,[show]Barcelona
7 November 201010,Getafe,1–3,Barcelona,[show]Getafe
13 November 201011,Barcelona,3–1,Villarreal,[show]Barcelona
20 November 201012,Almería,0–8,Barcelona,[show]Almería
29 November 201013,Barcelona,5–0,Real Madrid,[show]Barcelona
4 December 201014,Osasuna,0–3,Barcelona,[show]Pamplona
12 December 201015,Barcelona,5–0,Real Sociedad,[show]Barcelona
18 December 201016,Espanyol,1–5,Barcelona,[show]Cornellà de Llobregat
2 January 201117,Barcelona,2–1,Levante,[show]Barcelona
8 January 201118,Deportivo La Coruña,0–4,Barcelona,[show]A Coruña
16 January 201119,Barcelona,4–1,Málaga,[show]Barcelona
22 January 201120,Barcelona,3–0,Racing Santander,[show]Barcelona
29 January 201121,Hércules,0–3,Barcelona,[show]Alicante
5 February 201122,Barcelona,3–0,Atlético Madrid,[show]Barcelona
12 February 201123,Sporting Gijón,1–1,Barcelona,[show]Gijón
20 February 201124,Barcelona,2–1,Athletic Bilbao,[show]Barcelona
26 February 201125,Mallorca,0–3,Barcelona,[show]Palma
2 March 201126,Valencia,0–1,Barcelona,[show]Valencia
5 March 201127,Barcelona,1–0,Zaragoza,[show]Barcelona
13 March 201128,Sevilla,1–1,Barcelona,[show]Seville
19 March 201129,Barcelona,2–1,Getafe,[show]Barcelona
2 April 201130,Villarreal,0–1,Barcelona,[show]Villarreal
9 April 201131,Barcelona,3–1,Almería,[show]Barcelona
16 April 201132,Real Madrid,1–1,Barcelona,[show]Madrid
23 April 201133,Barcelona,2–0,Osasuna,[show]Barcelona
30 April 201134,Real Sociedad,2–1,Barcelona,[show]San Sebastián
8 May 201135,Barcelona,2–0,Espanyol,[show]Barcelona
11 May 201136,Levante,1–1,Barcelona,[show]Valencia
15 May 201137,Barcelona,0–0,Deportivo La Coruña,[show]Barcelona
21 May 201138,Málaga,1–3,Barcelona,[show]Málaga
26 October 2010,Ceuta,0-2,Barcelona,Ceuta
10 November 2010,Barcelona,5-1,Ceuta,Barcelona
21 December 2010,Barcelona,0-0,Athletic Bilbao,Barcelona
5 January 2011,Athletic Bilbao,1-1,Barcelona,Bilbao
12 January 2011,Barcelona,5-0,Real Betis,Barcelona
19 January 2011,Real Betis,3-1,Barcelona,Seville
26 January 2011,Barcelona,5-0,Almería,Barcelona
2 February 2011,Almería,0-3,Barcelona,Almeria
20 April 2011,Barcelona,0-1,Real Madrid,Valencia
16 September 2010,Barcelona,5-1,Panathinaikos,Barcelona
29 September 2010,Rubin Kazan,1-1,Barcelona,Kazan
20 October 2010,Barcelona,2-0,Copenhagen,Barcelona
2 November 2010,Copenhagen,1-1,Barcelona,Copenhagen
24 November 2010,Panathinaikos,0-3,Barcelona,Athens
7 December 2010,Barcelona,2-0,Rubin Kazan,Barcelona
16 February 2011,Arsenal,2-1,Barcelona,London
8 March 2011,Barcelona,3-1,Arsenal,Barcelona
6 April 2011,Barcelona,5-1,Shakhtar Donetsk,Barcelona
12 April 2011,Shakhtar Donetsk,0-1,Barcelona,Donetsk
27 April 2011,Real Madrid,0-2,Barcelona,Madrid
3 May 2011,Barcelona,1-1,Real Madrid,Barcelona
28 May 2011,Barcelona,3-1,Manchester United,London
