Date;Heure;Dept;Com;Adresse;Code postal;Carr;Segm;Lieu 1 NomV;Lieu 2 NomV;Véhicule 1 Cadmin;Véhicule 1 LVeh;Véhicle 2 CAdmin;Véhicule 2 LVeh;Véhicule 3 CAdmin;Véhicule 3 LVeh;Usager 1 CatU;Usager 1 Grav;Usager 1 Lveh;Usager 2 CatU;Usager 2 Grav;Usager 2 Lveh;Usager 3 CatU;Usager 3 Grav;Usager 3 Lveh;Usager 4 CatU;Usager 4 Grav;Usager 4 Lveh;Coordonnées
2013-10-07;05:45;75;119;AVENUE CORENTIN CARIOU;75119;1_75119_10244;;AVENUE CORENTIN CARIOU;BOULEVARD MACDONALD;Moto50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.896117, 2.383857
2013-02-05;13:50;75;119;79, RUE DE BELLEVILLE;75119;1_75119_10266;;RUE DE BELLEVILLE;RUE CLAVEL;Scoo<=50;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.873659, 2.383921
2012-12-11;14:50;75;119;163, AVENUE JEAN JAURES;75119;1_75119_10363;;AVENUE JEAN JAURES;RUE DES ARDENNES;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.88739, 2.387161
2012-05-06;13:00;75;119;66, RUE PETIT;75119;1_75119_10374;;RUE PETIT;RUE D HAUTPOUL;Cyclo;A;Scoo<=50;B;;;Cond;BL;A;Cond;BL;B;;;;;;;48.885578, 2.386701
2013-03-28;19:12;75;119;1, PLACE AUGUSTE BARON;75119;1_75119_10410;;PLACE AUGUSTE BARON;ECH VILLETTE-DG/19;VU;A;Moto>125;B;;;Cond;Indem;A;Cond;BH;B;;;;;;;
2012-12-05;09:30;75;119;17, RUE DE LA VILLETTE;75119;1_75119_10426;;RUE DE LA VILLETTE;RUE DELOUVAIN;VU;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;;48.875613, 2.387337
2012-08-27;18:35;75;119;76, RUE PETIT;75119;1_75119_10451;;RUE PETIT;RUE DE LUNEVILLE;Moto>125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.885725, 2.387921
2012-01-10;13:00;75;119;RUE MANIN;75119;1_75119_10467;;RUE MANIN;RUE D HAUTPOUL;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.882555, 2.386028
2012-03-15;10:55;75;119;1, PLACE AUGUSTE BARON;75119;1_75119_10479;;PLACE AUGUSTE BARON;NON DENOMMEE DI/19;VU;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;
2013-10-06;00:20;75;119;PLACE AUGUSTE BARON;75119;1_75119_10542;;PLACE AUGUSTE BARON;ECH VILLETTE-DD/19;VL;A;VL;B;VL;Z;Cond;Indem;B;Cond;BL;A;;;;;;;
2013-09-27;07:25;75;119;176, AVENUE JEAN JAURES;75119;1_75119_10576;;AVENUE JEAN JAURES;RUE DU HAINAUT;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BH;B;;;;;;;48.887681, 2.389519
2012-04-23;17:00;75;119;139, RUE DE BELLEVILLE;75119;1_75119_10585;;RUE DE BELLEVILLE;RUE LASSUS;Scoo>125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.875248, 2.389463
2012-10-23;20:50;75;119;1, RUE DU GENERAL BRUNET;75119;1_75119_10604;;RUE DU GENERAL BRUNET;RUE DE CRIMEE;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.87968, 2.389547
2013-12-24;15:35;75;119;86, RUE BOTZARIS;75119;1_75119_10604;;RUE BOTZARIS;RUE DE CRIMEE;Bicy;A;VU;Z;;;Cond;BL;A;;;;;;;;;;48.879434, 2.3894
2012-02-05;08:35;75;119;RUE DAVID D ANGERS;75119;1_75119_10684;;RUE DAVID D ANGERS;RUE FRANCOIS PINTON;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.882055, 2.392845
2013-12-24;10:10;75;119;106, RUE PETIT;75119;1_75119_10751;;RUE PETIT;ALLEE DE FONTAINEBLEAU;VL;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.88619, 2.391327
2012-10-30;18:30;75;119;46, RUE MANIN;75119;1_75119_10786;;RUE MANIN;RUE DES CARRIERES D AMERIQUE;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.884548, 2.392027
2012-10-16;22:35;75;119;AVENUE JEAN JAURES;75119;1_75119_10885;;AVENUE JEAN JAURES;SENTE DES DOREES;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.885994, 2.382415
2012-01-05;22:00;75;119;221, RUE DE BELLEVILLE;75119;1_75119_11030;;RUE DE BELLEVILLE;RUE COMPANS;VL;Z;;;;;Piéto;BL;Z;;;;;;;;;;48.87549, 2.395403
2012-09-20;09:50;75;119;221, RUE DE BELLEVILLE;75119;1_75119_11030;;RUE DE BELLEVILLE;RUE COMPANS;Scoo>125;A;Scoo<=50;B;;;Cond;BH;A;Cond;Indem;B;;;;;;;48.87549, 2.395403
2013-04-08;12:50;75;119;PORTE DE PANTIN;75119;1_75119_11044;;ECH PANTIN-DA/19;BD PERIPHERIQUE EXTERIEUR;Moto50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.889625, 2.395859
2012-03-14;16:50;75;119;1, PLACE DE LA PORTE DE;75119;1_75119_11053;;PLACE DE LA PORTE DE PANTIN;ECH PANTIN-DB/19;VL;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.889586, 2.396785
2013-08-17;16:40;75;119;1, PLACE DE LA PORTE DE;75119;1_75119_11053;;PLACE DE LA PORTE DE PANTIN;AVENUE JEAN JAURES;Moto>125;A;VL;B;;;Cond;BH;A;Cond;Indem;B;;;;;;;48.889586, 2.396785
2012-11-27;02:10;75;119;AVENUE DE LA PORTE DE PA;75119;1_75119_11067;;PLACE DE LA PORTE DE PANTIN;BOULEVARD SERURIER;Scoo<=50;A;VL;Z;;;Cond;BH;A;;;;;;;;;;48.889985, 2.397966
