date,home,outcome
2012-01-04,FALSE,lose
2012-01-08,FALSE,win
2012-01-14,TRUE,win
2012-01-20,FALSE,win
2012-01-28,FALSE,win
2012-02-04,TRUE,win
2012-02-12,FALSE,tie
2012-02-15,FALSE,win
2012-02-19,TRUE,tie
2012-02-25,FALSE,tie
2012-03-04,TRUE,win
2012-03-11,FALSE,win
2012-03-17,FALSE,tie
2012-03-21,TRUE,lose
2012-03-25,TRUE,tie
2012-03-31,FALSE,lose
2012-04-08,TRUE,win
2012-04-15,FALSE,tie
2012-04-22,TRUE,win
2012-04-29,FALSE,lose
2012-05-02,TRUE,win
2012-05-06,FALSE,win
2012-05-13,TRUE,win
2012-05-20,FALSE,win
2012-07-11,FALSE,win
2012-07-14,FALSE,tie
2012-07-23,FALSE,tie
2012-07-29,FALSE,tie
2012-08-04,TRUE,tie
2012-08-11,TRUE,tie
2012-08-19,FALSE,tie
2012-08-26,TRUE,tie
2012-09-02,FALSE,win
2012-09-14,TRUE,win
2012-09-18,TRUE,win
2012-09-22,FALSE,win
2012-09-29,TRUE,win
2012-10-03,FALSE,lose
2012-10-07,FALSE,tie
2012-10-20,TRUE,win
2012-10-24,FALSE,win
2012-10-27,FALSE,win
2012-10-31,TRUE,win
2012-11-03,TRUE,lose
2012-11-06,TRUE,win
2012-11-11,FALSE,tie
2012-11-17,TRUE,lose
2012-11-21,FALSE,win
2012-11-24,TRUE,win
2012-11-27,FALSE,tie
2012-12-01,FALSE,lose
2012-12-04,TRUE,win
2012-12-08,TRUE,win
2012-12-11,FALSE,win
2012-12-16,TRUE,win
2012-12-21,FALSE,win
2013-01-02,FALSE,win
2013-01-06,FALSE,win
2013-01-11,TRUE,tie
2013-01-20,FALSE,win
2013-01-23,TRUE,win
2013-01-27,TRUE,win
2013-02-01,FALSE,win
2013-02-08,TRUE,win
2013-02-12,FALSE,win
2013-02-17,FALSE,lose
2013-02-24,TRUE,win
2013-02-27,TRUE,win
2013-03-02,FALSE,lose
2013-03-06,TRUE,tie
2013-03-09,TRUE,win
2013-03-17,FALSE,tie
2013-03-29,TRUE,win
2013-04-02,TRUE,tie
2013-04-06,FALSE,win
2013-04-10,FALSE,tie
2013-04-13,FALSE,win
2013-04-17,FALSE,tie
2013-04-21,TRUE,win
2013-04-28,FALSE,win
2013-05-05,TRUE,tie
2013-05-12,FALSE,win
2013-05-18,TRUE,win
2013-05-26,FALSE,win
2013-07-09,FALSE,lose
2013-07-12,FALSE,win
2013-07-23,FALSE,win
2013-07-27,FALSE,lose
2013-08-03,TRUE,win
2013-08-09,FALSE,tie
2013-08-18,TRUE,tie
2013-08-25,FALSE,win
2013-08-31,TRUE,win
2013-09-13,FALSE,win
2013-09-17,FALSE,win
2013-09-22,TRUE,tie
2013-09-25,FALSE,win
2013-09-28,TRUE,win
2013-10-02,TRUE,win
2013-10-06,FALSE,win
2013-10-19,TRUE,win
2013-10-23,FALSE,win
2013-10-27,FALSE,tie
2013-11-01,TRUE,win
2013-11-05,TRUE,tie
2013-11-09,TRUE,win
2013-11-23,FALSE,win
2013-11-27,TRUE,win
2013-12-01,TRUE,win
2013-12-04,FALSE,lose
2013-12-07,TRUE,win
2013-12-10,FALSE,lose
2013-12-14,FALSE,win
2013-12-18,TRUE,win
2013-12-22,TRUE,tie
