Gruppo,DataOraIncidente,Localizzazione1,Localizzazione2,Strada02,NaturaIncidente,TipoStrada,FondoStradale,Pavimentazione,Segnaletica,CondizioneAtmosferica,Traffico,Visibilita,Illuminazione,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,DaSpecificare,Chilometrica
8,01/01/2014 00.10.00,Strada Urbana,all'intersezione con,VIA GUARDIA PIEMONTESE,Veicolo in marcia contro ostacolo fisso,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,Sufficiente,0,0,0,0,NA,NA
20,01/01/2014 00.20.00,Strada Urbana,da specificare,NA,Tamponamento,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,Sufficiente,0,0,0,3,alt. terzultima colonna direzione via lupi,NA
2,01/01/2014 01.00.00,Strada Urbana,in prossimità,del civico n. ,Tamponamento Multiplo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,3,NA,8
8,01/01/2014 01.00.00,Strada Urbana,in prossimità,del palo luce n. ,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nebbia,Scarso,Buona,Sufficiente,0,0,0,3,NA,21
9,01/01/2014 01.15.00,Strada Urbana,in prossimità,del civico n. ,Scontro laterale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,0,0,0,6,NA,1
8,01/01/2014 02.00.00,Strada Urbana,in prossimità,del palo luce n. ,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Nebbia,Scarso,Buona,Sufficiente,0,0,0,1,NA,21
20,01/01/2014 02.10.00,Strada Urbana,in prossimità,del civico n.,Scontro laterale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,0,0,0,3,NA,373
15,01/01/2014 02.30.00,Strada Urbana,da specificare,NA,Scontro frontale fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,4,alt.cavalcavia sovrastante V.Portuense dir. Dunant,NA
13,01/01/2014 02.50.00,Strada Urbana,in prossimità,del civico n.,Investimento di pedone,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,0,0,1,2,NA,2106
9,01/01/2014 03.00.00,Strada Urbana,all'intersezione semaforizzata con,VIALE CASTRENSE,Scontro frontale/laterale DX fra veicoli in marcia,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,2,NA,NA
8,01/01/2014 03.00.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo accidentale,Una carreggiata a doppio senso,Asciutto,Con buche,Assente,Sereno,Scarso,Buona,Sufficiente,0,0,0,4,200 mt dopo l'uscita A24 dir. Polense,NA
1,01/01/2014 03.05.00,Strada Urbana,in prossimità,del civico n.,Scontro frontale/laterale SX fra veicoli in marcia,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Intenso,Sufficiente,Sufficiente,1,0,0,2,NA,70
17,01/01/2014 03.15.00,Strada Urbana,in corrispondenza,del civico n. ,Veicolo in marcia contro veicoli fermi,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,0,0,0,2,NA,3
11,01/01/2014 03.20.00,Strada Urbana,all'intersezione semaforizzata con,VIA ALESSANDRO SEVERO,Scontro laterale fra veicoli in marcia,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,3,NA,NA
6,01/01/2014 04.00.00,Strada Urbana,in prossimità,del civico n. ,Scontro laterale fra veicoli in marcia,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,2,NA,514
12,01/01/2014 04.30.00,Regionale,da specificare,NA,Investimento di pedone,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Insufficiente,0,0,0,1,alt. casa cantoniera dir. Roma,NA
4,01/01/2014 04.50.00,Statale entro l'abitato,all'intersezione semaforizzata con,VIA GROTTAZZOLINA,Tamponamento,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,2,0,0,1,NA,NA
5,01/01/2014 05.00.00,Strada Urbana,da specificare,NA,Veicolo in marcia contro ostacolo fisso,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,0,0,0,1,ponte di Portonaccio alt. svincolo Tangenziale Est,NA
19,01/01/2014 05.15.00,Strada Urbana,all'intersezione semaforizzata con,VIA CASSIA NUOVA,Scontro frontale/laterale SX fra veicoli in marcia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,1,NA,NA
