30 Aug 14,AS Roma,2 - 0,Fiorentina,-,+,-,1-0,W
13 Sep 14,Empoli,0 - 1,AS Roma,-,+,-,0-1,W
21 Sep 14,AS Roma,2 - 0,Cagliari,-,+,-,2-0,W
24 Sep 14,Parma,1 - 2,AS Roma,+,-,-,0-1,W
27 Sep 14,AS Roma,2 - 0,Hellas Verona,-,+,-,0-0,W
5 Oct 14,Juventus,3 - 2,AS Roma,+,-,-,2-2,L
18 Oct 14,AS Roma,3 - 0,Chievo,+,+,-,3-0,W
25 Oct 14,Sampdoria,0 - 0,AS Roma,-,+,+,0-0,T
29 Oct 14,AS Roma,2 - 0,Cesena,-,+,-,1-0,W
1 Nov 14,Napoli,2 - 0,AS Roma,-,-,+,1-0,L
9 Nov 14,AS Roma,3 - 0,Torino,+,+,-,2-0,W
22 Nov 14,Atalanta,1 - 2,AS Roma,+,-,-,1-2,W
30 Nov 14,AS Roma,4 - 2,Inter Milan,+,-,-,1-1,W
6 Dec 14,AS Roma,2 - 2,Sassuolo,+,-,-,0-2,T
14 Dec 14,Genoa,0 - 1,AS Roma,-,+,-,0-1,W
20 Dec 14,AS Roma,0 - 0,AC Milan,-,+,+,0-0,T
6 Jan 15,Udinese,0 - 1,AS Roma,-,+,-,0-1,W
11 Jan 15,AS Roma,2 - 2,Lazio Roma,+,-,-,0-2,T
17 Jan 15,Palermo,1 - 1,AS Roma,-,-,-,1-0,T
25 Jan 15,Fiorentina,1 - 1,AS Roma,-,-,-,1-0,T
31 Jan 15,AS Roma,1 - 1,Empoli,-,-,-,0-1,T
8 Feb 15,Cagliari,1 - 2,AS Roma,+,-,-,0-1,W
15 Feb 15,AS Roma,0 - 0,Parma,-,+,+,0-0,T
22 Feb 15,Hellas Verona,1 - 1,AS Roma,-,-,-,1-1,T
2 Mar 15,AS Roma,1 - 1,Juventus,-,-,-,0-0,T
8 Mar 15,Chievo,0 - 0,AS Roma,-,+,+,0-0,T
16 Mar 15,AS Roma,0 - 2,Sampdoria,-,-,+,0-0,L
22 Mar 15,Cesena,0 - 1,AS Roma,-,+,-,0-1,W
4 Apr 15,AS Roma,1 - 0,Napoli,-,+,-,1-0,W
12 Apr 15,Torino,1 - 1,AS Roma,-,-,-,0-0,T
19 Apr 15,AS Roma,1 - 1,Atalanta,-,-,-,1-1,T
25 Apr 15,Inter Milan,2 - 1,AS Roma,+,-,-,1-0,L
29 Apr 15,Sassuolo,0 - 3,AS Roma,+,+,-,0-2,W
3 May 15,AS Roma,2 - 0,Genoa,-,+,-,1-0,W
9 May 15,AC Milan,2 - 1,AS Roma,+,-,-,1-0,L
17 May 15,AS Roma,2 - 1,Udinese,+,-,-,1-1,W
25 May 15,Lazio Roma,1 - 2,AS Roma,+,-,-,0-0,W
31 May 15,AS Roma,1 - 2,Palermo,+,-,-,0-1,W
26 Aug 12,AS Roma,2 - 2,Catania,+,-,-,0-1,T
2 Sep 12,Inter Milan,1 - 3,AS Roma,+,-,-,1-1,W
16 Sep 12,AS Roma,2 - 3,Bologna,+,-,-,2-0,L
23 Sep 12,Cagliari,0 - 3,AS Roma,+,+,-,0-0,W
26 Sep 12,AS Roma,1 - 1,Sampdoria,-,-,-,1-0,T
29 Sep 12,Juventus,4 - 1,AS Roma,+,-,-,3-1,L
7 Oct 12,AS Roma,2 - 0,Atalanta,-,+,-,1-0,W
21 Oct 12,Genoa,2 - 4,AS Roma,+,-,-,2-2,W
28 Oct 12,AS Roma,2 - 3,Udinese,+,-,-,2-1,L
31 Oct 12,Parma,3 - 2,AS Roma,+,-,-,2-1,L
4 Nov 12,AS Roma,4 - 1,Palermo,+,-,-,2-0,W
11 Nov 12,Lazio Roma,3 - 2,AS Roma,+,-,-,2-1,L
19 Nov 12,AS Roma,2 - 0,Torino,-,+,-,0-0,W
25 Nov 12,Pescara,0 - 1,AS Roma,-,+,-,0-1,W
2 Dec 12,Siena,1 - 3,AS Roma,+,-,-,1-0,W
8 Dec 12,AS Roma,4 - 2,Fiorentina,+,-,-,3-1,W
16 Dec 12,Chievo Verona,1 - 0,AS Roma,-,-,+,0-0,L
22 Dec 12,AS Roma,4 - 2,AC Milan,+,-,-,3-0,W
6 Jan 13,Napoli,4 - 1,AS Roma,+,-,-,1-0,L
13 Jan 13,Catania,1 - 0,AS Roma,-,-,+,0-0,L
20 Jan 13,AS Roma,1 - 1,Inter Milan,-,-,-,1-1,T
27 Jan 13,Bologna,3 - 3,AS Roma,+,-,-,2-2,T
1 Feb 13,AS Roma,2 - 4,Cagliari,+,-,-,1-1,W
10 Feb 13,Sampdoria,3 - 1,AS Roma,+,-,-,0-0,L
16 Feb 13,AS Roma,1 - 0,Juventus,-,+,-,0-0,W
24 Feb 13,Atalanta,2 - 3,AS Roma,+,-,-,2-2,W
3 Mar 13,AS Roma,3 - 1,Genoa,+,-,-,1-1,W
9 Mar 13,Udinese,1 - 1,AS Roma,-,-,-,0-1,T
17 Mar 13,AS Roma,2 - 0,Parma,-,+,-,1-0,W
30 Mar 13,Palermo,2 - 0,AS Roma,-,-,+,2-0,L
8 Apr 13,AS Roma,1 - 1,Lazio Roma,-,-,-,0-1,T
14 Apr 13,Torino,1 - 2,AS Roma,+,-,-,1-1,W
21 Apr 13,AS Roma,1 - 1,Pescara,-,-,-,0-1,T
28 Apr 13,AS Roma,4 - 0,Siena,+,+,-,3-0,W
4 May 13,Fiorentina,0 - 1,AS Roma,-,+,-,0-0,W
7 May 13,AS Roma,0 - 1,Chievo Verona,-,-,+,0-0,L
12 May 13,AC Milan,0 - 0,AS Roma,-,+,+,0-0,T
19 May 13,AS Roma,2 - 1,Napoli,+,-,-,0-0,W
25 Aug 13,Livorno,0 - 2,AS Roma,-,+,-,0-0,W
1 Sep 13,AS Roma,3 - 0,Hellas Verona,+,+,-,0-0,W
16 Sep 13,Parma,1 - 3,AS Roma,+,-,-,1-0,W
22 Sep 13,AS Roma,2 - 0,Lazio Roma,-,+,-,0-0,W
25 Sep 13,Sampdoria,0 - 2,AS Roma,-,+,-,0-0,W
29 Sep 13,AS Roma,5 - 0,Bologna,+,+,-,3-0,W
5 Oct 13,Inter Milan,0 - 3,AS Roma,+,+,-,0-3,W
18 Oct 13,AS Roma,2 - 0,Napoli,-,+,-,1-0,W
