25/08/2013,19:45,A,AS Livorno,2:0 (0:0),
01/09/2013,17:00,H,Hellas Verona,3:0 (0:0),
16/09/2013,19:45,A,Parma FC,3:1 (0:1),
22/09/2013,14:00,H,Lazio Roma,2:0 (0:0),
25/09/2013,19:45,A,Sampdoria,2:0 (0:0),
29/09/2013,19:45,H,Bologna FC,5:0 (3:0),
05/10/2013,19:45,A,Inter,3:0 (3:0),
18/10/2013,19:45,H,SSC Napoli,2:0 (1:0),
27/10/2013,14:00,A,Udinese Calcio,1:0 (0:0),
31/10/2013,19:45,H,Chievo Verona,1:0 (0:0),
03/11/2013,19:45,A,Torino FC,1:1 (1:0),
10/11/2013,14:00,H,Sassuolo Calcio,1:1 (1:0),
25/11/2013,19:45,H,Cagliari Calcio,0:0 (0:0),
01/12/2013,14:00,A,Atalanta,1:1 (0:0),
08/12/2013,11:30,H,ACF Fiorentina,2:1 (1:1),
16/12/2013,19:45,A,AC Milan,2:2 (1:1),
22/12/2013,14:00,H,Calcio Catania,4:0 (1:0),
05/01/2014,19:45,A,Juventus,0:3 (0:1),
12/01/2014,14:00,H,Genoa CFC,4:0 (3:0),
18/01/2014,17:00,H,AS Livorno,3:0 (2:0),
26/01/2014,11:30,A,Hellas Verona,3:1 (1:0),
09/02/2014,14:00,A,Lazio Roma,0:0 (0:0),
16/02/2014,19:45,H,Sampdoria,3:0 (1:0),
22/02/2014,19:45,A,Bologna FC,1:0 (1:0),
01/03/2014,19:45,H,Inter,0:0 (0:0),
09/03/2014,19:45,A,SSC Napoli,0:1 (0:0),
17/03/2014,20:00,H,Udinese Calcio,3:2 (2:0),
22/03/2014,19:45,A,Chievo Verona,2:0 (2:0),
25/03/2014,19:45,H,Torino FC,2:1 (1:0),
30/03/2014,11:30,A,Sassuolo Calcio,2:0 (1:0),
02/04/2014,17:30,H,Parma FC,4:2 (2:1),
06/04/2014,14:00,A,Cagliari Calcio,3:1 (1:0),
12/04/2014,19:45,H,Atalanta,3:1 (2:0),
19/04/2014,20:00,A,ACF Fiorentina,1:0 (1:0),
25/04/2014,19:45,H,AC Milan,2:0 (1:0),
04/05/2014,14:00,A,Calcio Catania,1:4 (1:2),
11/05/2014,16:45,H,Juventus,0:1 (0:0),
18/05/2014,14:00,A,Genoa CFC,0:1 (0:0),
09/01/2014,17:00,H,Sampdoria,1:0 (1:0),
21/01/2014,19:45,H,Juventus,1:0 (0:0),
05/02/2014,19:45,H,SSC Napoli,3:2 (2:0),
12/02/2014,19:45,A,SSC Napoli,0:3 (0:1),
17/09/2014,19:45,H,CSKA Moskva,5:1 (4:0),
30/09/2014,19:45,A,Manchester City,1:1 (1:1),
21/10/2014,19:45,H,Bayern München,1:7 (0:5),
05/11/2014,19:45,A,Bayern München,0:2 (0:1),
25/11/2014,17:00,A,CSKA Moskva,1:1 (1:0),
10/12/2014,19:45,H,Manchester City,0:2 (0:0),
19/02/2015,18:00,H,Feyenoord,1:1 (1:0),
26/02/2015,20:05,A,Feyenoord,2:1 (1:0),
12/03/2015,20:05,A,ACF Fiorentina,1:1 (0:1),
19/03/2015,18:00,H,ACF Fiorentina,0:3 (0:3),
30/08/2014,19:45,H,ACF Fiorentina,2:0 (1:0),
13/09/2014,17:00,A,Empoli FC,1:0 (1:0),
21/09/2014,14:00,H,Cagliari Calcio,2:0 (2:0),
24/09/2014,19:45,A,Parma FC,2:1 (1:0),
27/09/2014,17:00,H,Hellas Verona,2:0 (0:0),
05/10/2014,17:00,A,Juventus,2:3 (2:2),
18/10/2014,17:00,H,Chievo Verona,3:0 (3:0),
25/10/2014,19:45,A,Sampdoria,0:0 (0:0),
29/10/2014,19:45,H,AC Cesena,2:0 (1:0),
01/11/2014,14:00,A,SSC Napoli,0:2 (0:1),
09/11/2014,19:45,H,Torino FC,3:0 (2:0),
22/11/2014,17:00,A,Atalanta,2:1 (2:1),
30/11/2014,19:45,H,Inter,4:2 (1:1),
06/12/2014,17:00,H,Sassuolo Calcio,2:2 (0:2),
14/12/2014,14:00,A,Genoa CFC,1:0 (1:0),
20/12/2014,19:45,H,AC Milan,0:0 (0:0),
06/01/2015,11:30,A,Udinese Calcio,1:0 (1:0),
11/01/2015,14:00,H,Lazio Roma,2:2 (0:2),
17/01/2015,19:45,A,US Palermo,1:1 (0:1),
25/01/2015,19:45,A,ACF Fiorentina,1:1 (0:1),
